ticker,name,sector,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,pnl_pct,holding_days,exit_reason
2082.SR,ACWA Power,Utilities,2023-08-04 00:00:00+03:00,2023-08-25 00:00:00+03:00,173.22985102055242,193.99627886220168,161,3343.394882505531,3312.1614816087163,0.11987788316683057,20,take_profit
2050.SR,Savola,Food,2023-08-16 00:00:00+03:00,2023-08-25 00:00:00+03:00,22.578399196624755,22.34524903678894,699,-162.9719617252353,-178.59129080195078,-0.010326248455677423,8,stop_loss
4004.SR,Dallah Healthcare,Healthcare,2023-08-09 00:00:00+03:00,2023-08-30 00:00:00+03:00,149.87944543789675,136.92769174669849,147,-1903.9077926061448,-1924.0361632929094,-0.08641447566981342,20,time_exit
3020.SR,Yamama Cement,Materials,2023-08-17 00:00:00+03:00,2023-08-30 00:00:00+03:00,31.721626329810103,31.138485282863606,889,-518.4123907354365,-546.0945041519022,-0.018383075346880773,12,stop_loss
1150.SR,Alinma Bank,Banking,2023-08-15 00:00:00+03:00,2023-09-05 00:00:00+03:00,26.563482716167762,26.621175588248843,798,46.03891192070227,24.79521380127969,0.0021718865970072887,20,time_exit
1304.SR,Yamamah Steel,Industrial,2023-08-17 00:00:00+03:00,2023-09-05 00:00:00+03:00,23.29438021392474,23.247837279682603,758,-35.27954415553956,-52.901404813538974,-0.0019980327364242934,18,stop_loss
6001.SR,Halwani Bros,Food,2023-08-22 00:00:00+03:00,2023-09-05 00:00:00+03:00,54.45440152740478,53.34660152435303,327,-362.2506009979223,-379.69493969638575,-0.020343626446692964,13,stop_loss
7010.SR,STC,Telecom,2023-09-01 00:00:00+03:00,2023-09-05 00:00:00+03:00,33.75397924537069,32.8443740832067,1068,-971.4583131911354,-1006.5361047120002,-0.0269480867885743,3,stop_loss
1140.SR,Bank Albilad,Banking,2023-08-16 00:00:00+03:00,2023-09-06 00:00:00+03:00,26.372752998008213,26.799187387168185,1045,445.623936672171,417.61878585258023,0.016169506050133675,20,time_exit
1050.SR,Banque Saudi Fransi,Banking,2023-08-16 00:00:00+03:00,2023-09-06 00:00:00+03:00,16.121489877898878,16.496333191811534,1448,542.7731185455261,518.886428083783,0.023251158345267697,20,time_exit
6002.SR,Herfy,Food,2023-08-16 00:00:00+03:00,2023-09-06 00:00:00+03:00,34.43440152740478,33.86610152435303,608,-345.526401855466,-366.11699158227265,-0.01650384434878216,20,time_exit
4250.SR,Jabal Omar,Real Estate,2023-08-22 00:00:00+03:00,2023-09-07 00:00:00+03:00,22.982959083557127,23.136839847564698,1047,161.11315991592684,136.8888885955266,0.006695428706465556,15,stop_loss
4190.SR,Jarir Marketing,Retail,2023-08-25 00:00:00+03:00,2023-09-13 00:00:00+03:00,12.783039208386217,12.54977893452253,2772,-646.59747915014,-681.3854663566365,-0.018247638144664236,18,stop_loss
4004.SR,Dallah Healthcare,Healthcare,2023-09-01 00:00:00+03:00,2023-09-14 00:00:00+03:00,136.81369821611378,131.89216994036025,201,-989.2271834264596,-1015.737509584472,-0.03597248184885249,12,stop_loss
